Rank,Strategy,Combined_Score,Median_Monthly_%,Positive_Months_%,Total_Return_x,Benchmark_x,Outperformance_%,CAGR_%,MDD_%,Sharpe
1,SMA29,2.6902083429568546,0.10590968102028864,50.526315789473685,220.74760807485043,252.02972995313297,-14.170990186981092,99.75341566833316,-38.7335760446383,1.632595273688701
2,SMA28,2.4825741752763166,0.10590968102028864,50.526315789473685,195.2618245502273,252.02972995313297,-29.072710722470617,96.63631924898881,-41.01605288067318,1.5792284742219138
3,SMA29_RSI30_80,1.126858488003748,0.33519887440001117,51.578947368421055,12.53366336057291,252.02972995313297,-1910.8225560448811,38.28553792085414,-41.401606681703264,0.9982234756639737
4,SMA29_RSI35_80,1.116713140688128,0.33519887440001117,51.578947368421055,12.240415323924903,252.02972995313297,-1958.996555946268,37.866451582778524,-41.07330644239799,0.9895973747113855
5,SMA29_RSI45_80,0.6366232283135502,0.10590968102028864,51.578947368421055,12.372333130964261,252.02972995313297,-1937.0428704540593,38.056048945812314,-40.033980548587074,1.0086976297911059
6,SMA29_RSI40_80,0.6228099161764847,0.10590968102028864,51.578947368421055,12.050104952569203,252.02972995313297,-1991.5148120713893,37.589767142377454,-41.07330644239801,0.987263067792971
7,SMA28_RSI30_80,0.5825291085398223,0.10590968102028864,50.526315789473685,11.150499262654378,252.02972995313297,-2160.2551151878847,36.227926166776236,-43.1294199587425,0.9347354403634877
8,SMA28_RSI35_80,0.5772844747277595,0.10590968102028864,50.526315789473685,10.88961288631335,252.02972995313297,-2214.404860708111,35.815075599903935,-42.81079987413443,0.9260810574324222
9,SMA31_RSI45_80,0.4455015054275483,0.039287103202267915,50.526315789473685,15.699705842926697,252.02972995313297,-1505.3149815331205,42.33664807310578,-36.314700326041105,1.0994948150553034
10,SMA31_RSI40_80,0.43526930219406557,0.039287103202267915,50.526315789473685,15.141034422618302,252.02972995313297,-1564.547632073543,41.67699533567026,-36.963383864561465,1.0811326156495427
11,SMA30_RSI45_80,0.43370004917243976,0.039287103202267915,50.526315789473685,15.254756052420792,252.02972995313297,-1552.1387106228954,41.812972849575836,-37.88363460248539,1.076399734743246
12,SMA30_RSI40_80,0.41912510448129164,0.039287103202267915,50.526315789473685,14.684059759637288,252.02972995313297,-1616.3491165154342,41.121451258379935,-39.73383360565396,1.0478775140915126
13,SMA28_RSI45_80,0.3538870247786708,0.039287103202267915,50.526315789473685,10.923484094216786,252.02972995313297,-2207.2284243684203,35.869160485219574,-42.2435543531455,0.9405587626759618
14,SMA28_RSI40_80,0.3488545482425777,0.039287103202267915,50.526315789473685,10.72030439330302,252.02972995313297,-2250.9568451300324,35.54250806981247,-42.81079987413439,0.9233815142350602
15,SMA30_RSI45_70,0.3038549212850796,0.10590968102028864,51.578947368421055,2.7533852298453487,252.02972995313297,-9053.449623440049,13.865514451036255,-38.615681844110874,0.41466934303440434
16,SMA31_RSI45_70,0.30083660329756856,0.10590968102028864,51.578947368421055,2.833695801642892,252.02972995313297,-8794.029126450823,14.285987610397743,-41.53445647473704,0.44210563746732495
17,SMA29_RSI45_70,0.184528631801051,0.04490789608089241,50.526315789473685,2.40270481804447,252.02972995313297,-10389.417096114898,11.89402322547144,-37.54218845224499,0.33855783383802424
18,SMA28_RSI45_70,0.1671155120892436,0.04490789608089241,50.526315789473685,2.0774934475237976,252.02972995313297,-12031.433206373373,9.82709558799928,-40.75475163897455,0.24470059519873918
19,SMA25,0.0,0.0,49.473684210526315,131.68239859292368,252.02972995313297,-91.39211667327307,86.95175879323587,-54.25143164270374,1.417974300023181
20,SMA26,0.0,0.0,48.421052631578945,139.25143620144118,252.02972995313297,-80.9889627195993,88.29608468746932,-52.633647903368676,1.4562481377168988
21,SMA27,0.0,0.0,48.421052631578945,159.19620259056768,252.02972995313297,-58.313908153526306,91.55527248174312,-46.59500727021154,1.5011642366696292
22,SMA30,0.0,0.0,48.421052631578945,252.02972995313297,252.02972995313297,-0.0,103.17629161962563,-38.091226700929035,1.6637684985897916
23,SMA31,0.0,0.0,48.421052631578945,267.6668453291324,252.02972995313297,6.204472535405747,104.75033090930465,-37.101072744472305,1.7020271936698375
24,SMA32,0.0,0.0,47.368421052631575,174.98211252812425,252.02972995313297,-44.031710619921306,93.89126424239316,-43.4847656184449,1.589539467633817
25,SMA33,0.0,0.0,46.31578947368421,170.07951707117,252.02972995313297,-48.1834698811326,93.18615931201168,-44.04790916692868,1.5768881313781102
26,SMA34,0.0,0.0,44.21052631578947,185.1082808940722,252.02972995313297,-36.15259605665961,95.29472806291201,-48.71355973707831,1.5454180625153864
27,SMA35,0.0,0.0,44.21052631578947,200.56527697747688,252.02972995313297,-25.659702293052167,97.31305154104209,-48.25920049775873,1.5856362107159137
28,SMA25_RSI30_70,0.0,0.0,47.368421052631575,1.335437390935622,252.02972995313297,-18772.448207890764,3.7780003826542785,-55.48876902184593,0.03447546459484744
29,SMA25_RSI30_75,0.0,-0.48739159259527653,42.10526315789473,2.5158050073344596,252.02972995313297,-9917.85628132456,12.555816223627069,-59.374897424280825,0.3556551007313139
30,SMA25_RSI30_80,0.0,0.0,47.368421052631575,6.955709391882322,252.02972995313297,-3523.3504845280754,28.23028148884328,-57.38887499757954,0.7474095419613369
31,SMA25_RSI30_85,0.0,0.0,47.368421052631575,12.648282092640894,252.02972995313297,-1892.6004820826265,38.44702110542033,-56.3568450913284,0.8596771839518828
32,SMA25_RSI35_70,0.0,0.0,47.368421052631575,1.2931435630886032,252.02972995313297,-19389.69450469781,3.3507026744081125,-55.23939276843014,0.019181461361468213
33,SMA25_RSI35_75,0.0,-0.48739159259527653,42.10526315789473,2.436128472441036,252.02972995313297,-10245.502415174169,12.092376552937779,-59.14729338700012,0.3418386605363611
34,SMA25_RSI35_80,0.0,0.0,47.368421052631575,6.7354193374245535,252.02972995313297,-3641.8565545393717,27.70230344719755,-57.150144176763774,0.735415053972564
35,SMA25_RSI35_85,0.0,0.0,47.368421052631575,12.247706019949181,252.02972995313297,-1957.770896383572,37.87697644649721,-56.112332274693244,0.8482299805220676
36,SMA25_RSI40_70,0.0,0.0,48.421052631578945,1.4074948623181667,252.02972995313297,-17806.262871754712,4.4795538391809275,-53.71511772496626,0.05712839080655142
37,SMA25_RSI40_75,0.0,-0.03321279627418461,44.21052631578947,2.6515527020976424,252.02972995313297,-9404.986634953639,13.316708914107767,-57.75609775763812,0.378851541249666
38,SMA25_RSI40_80,0.0,0.0,48.421052631578945,7.331025250081935,252.02972995313297,-3337.851069334622,29.097135705326306,-56.77736536187255,0.7698868157204611
39,SMA25_RSI40_85,0.0,0.0,48.421052631578945,13.330757535604382,252.02972995313297,-1790.5882076093628,39.38294187710785,-55.730524857873256,0.8816273141068866
40,SMA25_RSI45_70,0.0,0.0,47.368421052631575,1.4035692428694366,252.02972995313297,-17856.34460027687,4.442149752176161,-55.86043536155461,0.04817628113872455
41,SMA25_RSI45_75,0.0,-0.03321279627418461,44.21052631578947,2.6335935730454394,252.02972995313297,-9469.803500913407,13.218021340192898,-57.44442152282355,0.37650477483149764
42,SMA25_RSI45_80,0.0,0.0,48.421052631578945,7.281371766503392,252.02972995313297,-3361.2946301210613,28.984704950460504,-56.458468022666466,0.7741310375490302
