Rank,Strategy,Return_x,Benchmark_x,Gap_%,CAGR_%,MDD_%,Sharpe
1,Price>SMA31,267.6668453291324,252.02972995313297,6.204472535405747,104.75033090930465,-37.101072744472305,1.7020271936698375
2,Price>SMA30,252.02972995313297,252.02972995313297,0.0,103.17629161962563,-38.091226700929035,1.6637684985897916
3,Price>1%_SMA30+ROC20>0,250.0943239874396,252.02972995313297,-0.7679276433194104,102.97559067804806,-41.71514211180253,1.6612159930672477
4,Price>EMA22,249.42784072934043,252.02972995313297,-1.0323739283759847,102.90616309635033,-48.877514962911775,1.5329203212398617
5,Price>EMA20,241.23579966680913,252.02972995313297,-4.282800401496711,102.0393164580001,-47.12489639230989,1.498274987023784
6,Trend_SMA30+ROC18>0%,237.94124312376846,252.02972995313297,-5.590009889700065,101.68344864613586,-47.332370004926624,1.7443491307187913
7,Price>EMA23,235.63866027254164,252.02972995313297,-6.503625458647033,101.43217162810151,-49.18207147385935,1.516491469149213
8,Price>1%_SMA35+ROC20>0,227.307577251652,252.02972995313297,-9.809220803465635,100.5047596324697,-39.53376906114637,1.632945145322909
9,Price>SMA38,220.95968970758926,252.02972995313297,-12.327926650289012,99.77800899257801,-45.7855853463242,1.6634254856105113
10,Price>SMA29,220.74760807485043,252.02972995313297,-12.412076100744029,99.75341566833316,-38.7335760446383,1.632595273688701
11,Price>EMA21,217.65584788842267,252.02972995313297,-13.63882033722863,99.39253101689773,-46.17076831651147,1.4778844414189773
12,Price>EMA24,217.49665062371983,252.02972995313297,-13.701986402887812,99.37382805334695,-44.41682229754731,1.505296707198096
13,Price>EMA25,213.85532357349197,252.02972995313297,-15.146787002763462,98.94274178133573,-43.90781705359817,1.5032026307989441
14,Trend_SMA30+ROC20>0%,213.57866266177953,252.02972995313297,-15.256560128245077,98.90972774339875,-47.512970970166165,1.6016856699738853
15,Price>0%_SMA30+ROC20>0,213.57866266177953,252.02972995313297,-15.256560128245077,98.90972774339875,-47.512970970166165,1.6016856699738853
16,Price>EMA37,208.63798683711516,252.02972995313297,-17.216914498177204,98.31378679568567,-47.22623603114111,1.4989562523045874
17,Trend_SMA32+ROC18>0%,208.5514250983987,252.02972995313297,-17.25126034250777,98.30323656815618,-48.07661572809085,1.75832870806006
18,Price>EMA26,208.38742306089284,252.02972995313297,-17.31633283912806,98.28323737031246,-42.53656531695892,1.4934472500360139
19,Price>EMA34,206.96655662138056,252.02972995313297,-17.880102216564797,98.10939329512307,-43.0062613352593,1.493721591105803
20,Trend_SMA35+ROC18>0%,206.2962928750875,252.02972995313297,-18.14604851838313,98.0270245814645,-44.50543613974184,1.725021092995397
21,Price>EMA35,205.65767967531235,252.02972995313297,-18.399436561092962,97.94832807243507,-43.006261335259275,1.4914509865517902
22,Price>SMA39,205.61035146603336,252.02972995313297,-18.41821538107099,97.94248732638147,-42.294700373640104,1.688306855706094
23,Trend_SMA32+ROC20>0%,205.4496820640082,252.02972995313297,-18.48196555929601,97.92265046410793,-48.61691883676153,1.6060116500593746
24,Price>0%_SMA32+ROC20>0,205.4496820640082,252.02972995313297,-18.48196555929601,97.92265046410793,-48.61691883676153,1.6060116500593746
25,Trend_SMA30+ROC20>3%,204.47594572929376,252.02972995313297,-18.868323285781496,97.80213906154135,-42.35168979052919,1.6358895024392548
26,Price>1%_SMA32+ROC20>0,204.218759563236,252.02972995313297,-18.97036924921033,97.77022571352123,-40.14376833910838,1.61597631869596
27,Trend_SMA35+ROC20>0%,203.86803494750393,252.02972995313297,-19.109529266481818,97.72664898297327,-45.08290014345541,1.5814352496637745
28,Price>0%_SMA35+ROC20>0,203.86803494750393,252.02972995313297,-19.109529266481818,97.72664898297327,-45.08290014345541,1.5814352496637745
29,Price>SMA35,200.56527697747688,252.02972995313297,-20.419992905291895,97.31305154104209,-48.25920049775873,1.5856362107159137
30,Price>SMA36,199.5334784228388,252.02972995313297,-20.829388477326173,97.18262418693864,-43.264844823119944,1.6196769694232014
31,Price>EMA27,199.30774266640356,252.02972995313297,-20.918955591680987,97.15401106361139,-40.57255106453554,1.4593356153545685
32,Price>EMA33,197.51763272899146,252.02972995313297,-21.629232882278803,96.92609997397803,-43.006261335259296,1.4771756149098243
33,Price>EMA39,196.63925299167815,252.02972995313297,-21.977755152836586,96.81360816817337,-47.13371721368636,1.4817855281464385
