timestamp,close,sma31,strategy_signal,action
2017-10-25,6643000.0,5697419.354838709,1,BUY
2017-11-12,7132000.0,7209709.677419355,0,SELL
2017-11-13,7487000.0,7243548.387096774,1,BUY
2017-12-30,18415000.0,18893064.51612903,0,SELL
2017-12-31,19280000.0,19130000.0,1,BUY
2018-01-01,18860000.0,19334129.032258064,0,SELL
2018-01-02,20263000.0,19569354.83870968,1,BUY
2018-01-10,21317000.0,21368193.548387095,0,SELL
2018-02-17,12300000.0,11530258.064516129,1,BUY
2018-03-07,11200000.0,11239709.677419355,0,SELL
2018-04-15,8663000.0,8419838.709677419,1,BUY
2018-05-11,9256000.0,9614483.870967742,0,SELL
2018-05-13,9803000.0,9734935.483870968,1,BUY
2018-05-15,9500000.0,9817903.225806452,0,SELL
2018-07-06,7480000.0,7372290.322580645,1,BUY
2018-07-10,7140000.0,7255258.064516129,0,SELL
2018-07-16,7454000.0,7222193.548387097,1,BUY
2018-08-04,8074000.0,8178903.225806451,0,SELL
2018-08-28,7839000.0,7779709.677419355,1,BUY
2018-09-06,7523000.0,7582032.258064516,0,SELL
2018-10-04,7481000.0,7396741.935483871,1,BUY
2018-10-11,7187000.0,7384193.548387097,0,SELL
2018-10-15,7413000.0,7377612.903225807,1,BUY
2018-10-16,7352000.0,7377258.064516129,0,SELL
2018-11-07,7310000.0,7272774.193548387,1,BUY
2018-11-09,7243000.0,7255225.806451613,0,SELL
2018-11-11,7253000.0,7249774.193548387,1,BUY
2018-11-12,7249000.0,7251903.225806451,0,SELL
2018-12-20,4552000.0,4310870.9677419355,1,BUY
2018-12-27,4124000.0,4198838.70967742,0,SELL
2018-12-28,4338000.0,4197483.870967742,1,BUY
2019-01-10,4087000.0,4194838.70967742,0,SELL
2019-02-08,4009000.0,3964096.7741935486,1,BUY
2019-06-09,9474000.0,9565580.64516129,0,SELL
2019-06-10,9731000.0,9637709.677419355,1,BUY
2019-06-11,9587000.0,9677032.258064516,0,SELL
2019-06-12,9803000.0,9729709.677419355,1,BUY
2019-07-14,12425000.0,13111516.129032258,0,SELL
2019-08-03,12773000.0,12685774.193548387,1,BUY
2019-08-14,12202000.0,12614129.032258065,0,SELL
2019-08-15,12619000.0,12596483.870967742,1,BUY
2019-08-16,12575000.0,12632838.709677419,0,SELL
2019-08-19,13165000.0,12672903.225806452,1,BUY
2019-08-21,12293000.0,12669677.41935484,0,SELL
2019-09-12,12427000.0,12337516.129032258,1,BUY
2019-09-13,12306000.0,12310387.096774194,0,SELL
2019-10-25,10063000.0,9723290.322580645,1,BUY
2019-11-14,10075000.0,10192483.870967742,0,SELL
2019-12-22,8689000.0,8519387.096774194,1,BUY
2019-12-24,8470000.0,8508709.677419355,0,SELL
2020-01-03,8474000.0,8427064.516129032,1,BUY
2020-02-26,10741000.0,11280419.35483871,0,SELL
2020-04-04,8249000.0,8154451.612903226,1,BUY
2020-05-24,10664000.0,10860677.41935484,0,SELL
2020-05-27,11163000.0,11024451.612903226,1,BUY
2020-06-11,11090000.0,11414645.161290323,0,SELL
2020-06-16,11453000.0,11429258.064516129,1,BUY
2020-06-18,11341000.0,11411645.161290323,0,SELL
2020-06-22,11593000.0,11410903.225806452,1,BUY
2020-06-24,11233000.0,11441161.290322581,0,SELL
2020-07-21,11123000.0,11031580.64516129,1,BUY
2020-08-25,13476000.0,13592258.064516129,0,SELL
2020-08-31,13739000.0,13732580.64516129,1,BUY
2020-09-02,13571000.0,13751709.677419355,0,SELL
2020-10-05,12536000.0,12483967.741935484,1,BUY
2020-10-06,12418000.0,12485129.032258065,0,SELL
2020-10-08,12582000.0,12493645.161290323,1,BUY
2020-12-11,19658000.0,19822064.51612903,0,SELL
2020-12-12,20585000.0,19923548.387096774,1,BUY
2021-01-21,34519000.0,36411838.70967742,0,SELL
2021-02-03,39357000.0,38976032.258064516,1,BUY
2021-04-19,71456000.0,72838516.12903225,0,SELL
2021-05-08,71740000.0,70614903.22580644,1,BUY
2021-05-11,69741000.0,70041870.96774194,0,SELL
2021-06-14,46501000.0,45971161.29032258,1,BUY
2021-06-17,44854000.0,44875193.548387095,0,SELL
2021-07-23,39108000.0,38942483.87096774,1,BUY
2021-09-08,55580000.0,55885709.67741936,0,SELL
2021-09-14,56564000.0,56267483.87096774,1,BUY
2021-09-20,53801000.0,56778096.77419355,0,SELL
