timestamp,close,position,position_change,action
2017-10-25,6643000.0,1,1.0,BUY
2017-11-13,7487000.0,0,-1.0,SELL
2017-11-14,7591000.0,1,1.0,BUY
2017-12-31,19280000.0,0,-1.0,SELL
2018-01-03,20900000.0,1,1.0,BUY
2018-01-11,19389000.0,0,-1.0,SELL
2018-02-18,11966000.0,1,1.0,BUY
2018-03-08,10517000.0,0,-1.0,SELL
2018-04-16,8663000.0,1,1.0,BUY
2018-05-12,9481000.0,0,-1.0,SELL
2018-05-14,9797000.0,1,1.0,BUY
2018-05-15,9500000.0,0,-1.0,SELL
2018-07-06,7480000.0,1,1.0,BUY
2018-07-11,7226000.0,0,-1.0,SELL
2018-07-17,8080000.0,1,1.0,BUY
2018-08-05,8077000.0,0,-1.0,SELL
2018-08-29,7825000.0,1,1.0,BUY
2018-09-07,7382000.0,0,-1.0,SELL
2018-10-05,7503000.0,1,1.0,BUY
2018-10-12,7183000.0,0,-1.0,SELL
2018-10-16,7352000.0,1,1.0,BUY
2018-10-17,7327000.0,0,-1.0,SELL
2018-11-08,7282000.0,1,1.0,BUY
2018-11-10,7237000.0,0,-1.0,SELL
2018-11-12,7249000.0,1,1.0,BUY
2018-11-13,7248000.0,0,-1.0,SELL
2018-12-21,4333000.0,1,1.0,BUY
2018-12-28,4338000.0,0,-1.0,SELL
2018-12-29,4200000.0,1,1.0,BUY
2019-01-11,4101000.0,0,-1.0,SELL
2019-02-09,3998000.0,1,1.0,BUY
2019-06-10,9731000.0,0,-1.0,SELL
2019-06-11,9587000.0,1,1.0,BUY
2019-06-12,9803000.0,0,-1.0,SELL
2019-06-13,9935000.0,1,1.0,BUY
2019-07-15,13166000.0,0,-1.0,SELL
2019-08-04,12958000.0,1,1.0,BUY
2019-08-15,12619000.0,0,-1.0,SELL
2019-08-20,12952000.0,1,1.0,BUY
2019-08-22,12210000.0,0,-1.0,SELL
2019-09-13,12306000.0,1,1.0,BUY
2019-09-14,12253000.0,0,-1.0,SELL
2019-10-26,10730000.0,1,1.0,BUY
2019-11-12,10257000.0,0,-1.0,SELL
2019-11-13,10211000.0,1,1.0,BUY
2019-11-15,9914000.0,0,-1.0,SELL
2019-12-23,8520000.0,1,1.0,BUY
2019-12-25,8370000.0,0,-1.0,SELL
2019-12-30,8341000.0,1,1.0,BUY
2019-12-31,8312000.0,0,-1.0,SELL
2020-01-04,8482000.0,1,1.0,BUY
2020-02-27,10699000.0,0,-1.0,SELL
2020-04-04,8249000.0,1,1.0,BUY
2020-05-25,10825000.0,0,-1.0,SELL
2020-05-28,11579000.0,1,1.0,BUY
2020-06-12,11380000.0,0,-1.0,SELL
2020-06-17,11437000.0,1,1.0,BUY
2020-06-19,11286000.0,0,-1.0,SELL
2020-06-23,11509000.0,1,1.0,BUY
2020-06-25,11147000.0,0,-1.0,SELL
2020-07-22,11269000.0,1,1.0,BUY
2020-08-26,13561000.0,0,-1.0,SELL
2020-09-01,13974000.0,1,1.0,BUY
2020-09-03,12303000.0,0,-1.0,SELL
2020-10-06,12418000.0,1,1.0,BUY
2020-10-07,12423000.0,0,-1.0,SELL
2020-10-09,12638000.0,1,1.0,BUY
2020-12-12,20585000.0,0,-1.0,SELL
2020-12-13,20793000.0,1,1.0,BUY
2021-01-22,36345000.0,0,-1.0,SELL
2021-02-04,39810000.0,1,1.0,BUY
2021-04-20,70402000.0,0,-1.0,SELL
2021-05-09,71505000.0,1,1.0,BUY
2021-05-12,62257000.0,0,-1.0,SELL
2021-06-15,46389000.0,1,1.0,BUY
2021-06-19,42088000.0,0,-1.0,SELL
2021-07-24,40112000.0,1,1.0,BUY
2021-09-09,55900000.0,0,-1.0,SELL
2021-09-15,57207000.0,1,1.0,BUY
2021-09-21,50699000.0,0,-1.0,SELL
2021-10-02,58228000.0,1,1.0,BUY
2021-11-17,73935000.0,0,-1.0,SELL
2022-02-05,50788000.0,1,1.0,BUY
2022-02-21,45450000.0,0,-1.0,SELL
2022-03-01,53790000.0,1,1.0,BUY
2022-03-05,48605000.0,0,-1.0,SELL
2022-03-10,48917000.0,1,1.0,BUY
2022-03-11,48315000.0,0,-1.0,SELL
2022-03-17,50069000.0,1,1.0,BUY
2022-04-11,50050000.0,0,-1.0,SELL
2022-06-07,39398000.0,1,1.0,BUY
2022-06-09,38256000.0,0,-1.0,SELL
2022-07-10,27317000.0,1,1.0,BUY
2022-07-11,26460000.0,0,-1.0,SELL
2022-07-15,27518000.0,1,1.0,BUY
2022-08-20,29340000.0,0,-1.0,SELL
2022-09-10,29727000.0,1,1.0,BUY
2022-09-14,28344000.0,0,-1.0,SELL
2022-09-29,28033000.0,1,1.0,BUY
2022-10-03,28299000.0,0,-1.0,SELL
2022-10-04,28980000.0,1,1.0,BUY
2022-10-08,27743000.0,0,-1.0,SELL
2022-10-14,27660000.0,1,1.0,BUY
2022-10-15,27524000.0,0,-1.0,SELL
2022-10-18,27812000.0,1,1.0,BUY
2022-10-20,27505000.0,0,-1.0,SELL
2022-10-24,27803000.0,1,1.0,BUY
2022-11-09,22919000.0,0,-1.0,SELL
2022-12-09,22849000.0,1,1.0,BUY
2022-12-10,22831000.0,0,-1.0,SELL
2022-12-11,22775000.0,1,1.0,BUY
2022-12-12,22824000.0,0,-1.0,SELL
2022-12-13,23161000.0,1,1.0,BUY
2022-12-17,22230000.0,0,-1.0,SELL
2023-01-11,22485000.0,1,1.0,BUY
2023-02-13,28309000.0,0,-1.0,SELL
2023-02-15,31186000.0,1,1.0,BUY
2023-03-04,29838000.0,0,-1.0,SELL
2023-03-14,32490000.0,1,1.0,BUY
2023-04-21,36337000.0,0,-1.0,SELL
2023-04-26,38017000.0,1,1.0,BUY
2023-05-02,38405000.0,0,-1.0,SELL
2023-05-03,38703000.0,1,1.0,BUY
2023-05-08,37255000.0,0,-1.0,SELL
2023-05-29,36992000.0,1,1.0,BUY
2023-06-01,35823000.0,0,-1.0,SELL
2023-06-21,39135000.0,1,1.0,BUY
2023-07-15,38889000.0,0,-1.0,SELL
2023-08-09,39209000.0,1,1.0,BUY
2023-08-18,35890000.0,0,-1.0,SELL
2023-09-15,35928000.0,1,1.0,BUY
2023-09-25,35491000.0,0,-1.0,SELL
2023-09-28,36596000.0,1,1.0,BUY
2023-12-29,56450000.0,0,-1.0,SELL
2024-01-02,60206000.0,1,1.0,BUY
2024-01-14,57391000.0,0,-1.0,SELL
2024-01-17,58776000.0,1,1.0,BUY
2024-01-18,57284000.0,0,-1.0,SELL
2024-01-30,58965000.0,1,1.0,BUY
2024-04-03,96502000.0,0,-1.0,SELL
2024-04-05,98394000.0,1,1.0,BUY
2024-04-14,98905000.0,0,-1.0,SELL
2024-04-15,96527000.0,1,1.0,BUY
2024-04-16,95597000.0,0,-1.0,SELL
2024-05-16,90800000.0,1,1.0,BUY
2024-06-14,93978000.0,0,-1.0,SELL
2024-07-16,90807000.0,1,1.0,BUY
2024-08-03,85957000.0,0,-1.0,SELL
2024-08-24,85767000.0,1,1.0,BUY
2024-08-27,80950000.0,0,-1.0,SELL
2024-09-14,80524000.0,1,1.0,BUY
2024-09-16,78469000.0,0,-1.0,SELL
2024-09-18,82604000.0,1,1.0,BUY
2024-10-10,82131000.0,0,-1.0,SELL
2024-10-12,84956000.0,1,1.0,BUY
2024-12-28,142302000.0,0,-1.0,SELL
2025-01-03,144655000.0,1,1.0,BUY
2025-01-08,142368000.0,0,-1.0,SELL
2025-01-16,146670000.0,1,1.0,BUY
2025-02-06,151356000.0,0,-1.0,SELL
2025-03-25,128823000.0,1,1.0,BUY
2025-03-29,123378000.0,0,-1.0,SELL
2025-04-02,122798000.0,1,1.0,BUY
2025-04-03,123244000.0,0,-1.0,SELL
2025-04-13,121577000.0,1,1.0,BUY
2025-04-14,122694000.0,0,-1.0,SELL
2025-04-22,133855000.0,1,1.0,BUY
2025-06-05,141588000.0,0,-1.0,SELL
2025-06-10,150604000.0,1,1.0,BUY
2025-06-13,147266000.0,0,-1.0,SELL
2025-06-26,146852000.0,1,1.0,BUY
2025-07-01,145019000.0,0,-1.0,SELL
2025-07-03,148737000.0,1,1.0,BUY
2025-08-02,157376000.0,0,-1.0,SELL
2025-08-04,160332000.0,1,1.0,BUY
2025-08-07,161853000.0,0,-1.0,SELL
2025-08-08,160099000.0,1,1.0,BUY
2025-08-09,160180000.0,0,-1.0,SELL
